drugName	cui	tty
ALLERGENIC EXTRACT, 4 MOLD MIX	C0981825	IN
ALLERGENIC EXTRACT, 7 GRASS MIX	C0981826	IN
ALLERGENIC EXTRACT, 7 TREE MIX	C0981827	IN
ALLERGENIC EXTRACT, 9 GRASS MIX, SOUTHERN	C0981828	IN
ALLERGENIC EXTRACT, ALTERNARIA MOLD	C0993202	IN
ALLERGENIC EXTRACT, ALTERNARIA TENUIS	C0981831	IN
ALLERGENIC EXTRACT, ASH MIX	C0981833	IN
ALLERGENIC EXTRACT, ASH POLLEN, ARIZONA	C0981834	IN
ALLERGENIC EXTRACT, ASH POLLEN, OREGON	C0981835	IN
ALLERGENIC EXTRACT, ASPERGILLUS FUMIGATUS	C0981836	IN
ALLERGENIC EXTRACT, ASPERGILLUS GLAUCUS	C0981837	IN
ALLERGENIC EXTRACT, ASPERGILLUS MOLDS, MIXED	C0981838	IN
ALLERGENIC EXTRACT, ASPERGILLUS NIGER	C0981839	IN
ALLERGENIC EXTRACT, ASPERGILLUS TERREUS	C0981840	IN
ALLERGENIC EXTRACT, BEE	C0981841	IN
ALLERGENIC EXTRACT, BEECH	C0981843	IN
ALLERGENIC EXTRACT, BERMUDA GRASS	C0981844	IN
ALLERGENIC EXTRACT, BIRCH	C0981845	IN
ALLERGENIC EXTRACT, BLUEGRASS ANNUAL POLLEN	C0981846	IN
ALLERGENIC EXTRACT, BOTRYTIS CINEREA MOLD	C0981847	IN
ALLERGENIC EXTRACT, BOX ELDER	C0981848	IN
ALLERGENIC EXTRACT, CALIFORNIA HAZELNUT POLLEN	C0981850	IN
ALLERGENIC EXTRACT, CALIFORNIA LIVE OAK	C0981851	IN
ALLERGENIC EXTRACT, CAMEL	C0981852	IN
ALLERGENIC EXTRACT, CANADA BLUEGRASS POLLEN	C0981853	IN
ALLERGENIC EXTRACT, CANDIDA ALBICANS	C0981854	IN
ALLERGENIC EXTRACT, CAT EPITHELIUM	C0981855	IN
ALLERGENIC EXTRACT, CATTLE EPITHELIA	C0981856	IN
ALLERGENIC EXTRACT, CEPHALOTHECIUM ROSEUM	C0993203	IN
ALLERGENIC EXTRACT, CHAETOMIUM GLOBOSUM	C0991773	IN
ALLERGENIC EXTRACT, CLADOSPORIUM HERBARUM	C0981861	IN
ALLERGENIC EXTRACT, COMMON MUGWORT	C0991774	IN
ALLERGENIC EXTRACT, COMMON SAGEBRUSH	C0981863	IN
ALLERGENIC EXTRACT, CORN POLLEN	C0981865	IN
ALLERGENIC EXTRACT, CORN	C0981864	IN
ALLERGENIC EXTRACT, COTTONWOOD FREMONT	C0981868	IN
ALLERGENIC EXTRACT, COTTONWOOD, WESTERN	C0981869	IN
ALLERGENIC EXTRACT, CURVULARIA LUNATA MOLD	C0981870	IN
ALLERGENIC EXTRACT, DANDELION POLLEN	C0981871	IN
ALLERGENIC EXTRACT, DOG EPITHELIA	C0981873	IN
ALLERGENIC EXTRACT, DUST, AUTOGENOUS	C0981874	IN
ALLERGENIC EXTRACT, DUST	C0991777	IN
ALLERGENIC EXTRACT, ELM MIX	C0981876	IN
ALLERGENIC EXTRACT, ELM, CHINESE & AMERICAN, POLLEN MIX	C0991778	IN
ALLERGENIC EXTRACT, ELM	C0981875	IN
ALLERGENIC EXTRACT, EPICOCCUM PURPURASCENS	C0981877	IN
ALLERGENIC EXTRACT, EPIDERMAL AND INHALANTS	C0981878	IN
ALLERGENIC EXTRACT, EPIDERMALS	C0981879	IN
ALLERGENIC EXTRACT, FALSE RAGWEED POLLEN	C0981881	IN
ALLERGENIC EXTRACT, FALSE RAGWEED	C0981880	IN
ALLERGENIC EXTRACT, FEATHER MIX	C0991779	IN
ALLERGENIC EXTRACT, FIREBUSH KOCHIA POLLEN	C0981882	IN
ALLERGENIC EXTRACT, FOOD, WHEAT	C0981883	IN
ALLERGENIC EXTRACT, FUSARIUM OXYSPORUM MOLD	C0981884	IN
ALLERGENIC EXTRACT, FUSARIUM ROSEUM	C0993204	IN
ALLERGENIC EXTRACT, GLODENROD POLLEN	C0981886	IN
ALLERGENIC EXTRACT, GOAT	C0981887	IN
ALLERGENIC EXTRACT, GRAIN MILL DUST	C0981888	IN
ALLERGENIC EXTRACT, GRASS, BROME	C0981889	IN
ALLERGENIC EXTRACT, GRASS, JOHNSON	C0981890	IN
ALLERGENIC EXTRACT, GRASS, KENTUCKY BLUE	C0981891	IN
ALLERGENIC EXTRACT, GRASS, ORCHARD	C0981892	IN
ALLERGENIC EXTRACT, GRASS, SWEET VERNAL	C0981895	IN
ALLERGENIC EXTRACT, HAMSTER	C0981898	IN
ALLERGENIC EXTRACT, HELMINTHOSPORIUM SATIVUM	C0981899	IN
ALLERGENIC EXTRACT, HICKORY	C0981901	IN
ALLERGENIC EXTRACT, HOG	C0981902	IN
ALLERGENIC EXTRACT, HORMODENDRUM HORDEI	C0981904	IN
ALLERGENIC EXTRACT, HORNET	C0981906	IN
ALLERGENIC EXTRACT, HORSE DANDER	C0981909	IN
ALLERGENIC EXTRACT, HORSE EPITHELIA	C0981910	IN
ALLERGENIC EXTRACT, HORSE	C0981908	IN
ALLERGENIC EXTRACT, HOUSE DUST EXTRACT CONCENTRATE	C0981912	IN
ALLERGENIC EXTRACT, INGESTANTS	C0981914	IN
ALLERGENIC EXTRACT, INHALANTS	C0981915	IN
ALLERGENIC EXTRACT, INSECTS	C0981916	IN
ALLERGENIC EXTRACT, ITALIAN RYEGRASS POLLEN	C0981917	IN
ALLERGENIC EXTRACT, IVA CILIATA, I. XANTHIFOLIA POLLEN	C0981918	IN
ALLERGENIC EXTRACT, JUNE POLLEN	C0981919	IN
ALLERGENIC EXTRACT, KOCHIA	C0981922	IN
ALLERGENIC EXTRACT, LAMB QUARTERS	C0991781	IN
ALLERGENIC EXTRACT, MAPLE	C0981923	IN
ALLERGENIC EXTRACT, MEADOW FESCUE POLLEN	C0981925	IN
ALLERGENIC EXTRACT, MESQUITE	C0991782	IN
ALLERGENIC EXTRACT, MIXED ANTIGENS	C0974124	IN
ALLERGENIC EXTRACT, MOLD	C0981926	IN
ALLERGENIC EXTRACT, MONILIA SITOPHILA	C0981927	IN
ALLERGENIC EXTRACT, MORUS ALBA, M. RUBRA POLLEN	C0981928	IN
ALLERGENIC EXTRACT, MOUNTAIN CEDAR	C0981929	IN
ALLERGENIC EXTRACT, MOUSE	C0981930	IN
ALLERGENIC EXTRACT, MUCOR PLUMBEUS	C0981931	IN
ALLERGENIC EXTRACT, MUCOR RACEMOSUS MOLD	C0981932	IN
ALLERGENIC EXTRACT, NIGROSPORA SPHAERICA	C0991784	IN
ALLERGENIC EXTRACT, OAK	C0981933	IN
ALLERGENIC EXTRACT, OLIVE POLLEN	C0981936	IN
ALLERGENIC EXTRACT, OLIVE	C0981935	IN
ALLERGENIC EXTRACT, ORCHARD POLLEN	C0991785	IN
ALLERGENIC EXTRACT, PECAN	C0981937	IN
ALLERGENIC EXTRACT, PENICILLIN	C0981938	IN
ALLERGENIC EXTRACT, PENICILLIUM CHRYSOGENUM	C0981939	IN
ALLERGENIC EXTRACT, PENICILLIUM NOTATUM	C0981940	IN
ALLERGENIC EXTRACT, PER PRESCRIPTION	C0991786	IN
ALLERGENIC EXTRACT, PHOMA BETAE MOLD	C0981941	IN
ALLERGENIC EXTRACT, PHOMA HIBERNICA	C0993206	IN
ALLERGENIC EXTRACT, PIGWEED, ROUGH	C0981942	IN
ALLERGENIC EXTRACT, PIGWEED, SPINY, POLLEN	C0981944	IN
ALLERGENIC EXTRACT, PIGWEED, SPINY	C0981943	IN
ALLERGENIC EXTRACT, PLANTAIN, ENGLISH	C0981945	IN
ALLERGENIC EXTRACT, POPLAR	C0981948	IN
ALLERGENIC EXTRACT, POPULUS ALBA, P. DELTOIDES	C0981949	IN
ALLERGENIC EXTRACT, PULLULARIA PULLULANS	C0981951	IN
ALLERGENIC EXTRACT, QUACK GRASS POLLEN	C0981953	IN
ALLERGENIC EXTRACT, QUECUS RUBRA, ALBA, AGRIFOLA, VIRGIN	C0981954	IN
ALLERGENIC EXTRACT, RABBIT EPITHELIA	C0981955	IN
ALLERGENIC EXTRACT, RAGWEED STOCK POLLEN	C0993207	IN
ALLERGENIC EXTRACT, RAT	C0981956	IN
ALLERGENIC EXTRACT, RED ALDER	C0981957	IN
ALLERGENIC EXTRACT, REDTOP GRASS	C0981893	IN
ALLERGENIC EXTRACT, REED CANARY POLLEN	C0981958	IN
ALLERGENIC EXTRACT, RHIZOPUS ARRHIZUS MOLD	C0981959	IN
ALLERGENIC EXTRACT, RHIZOPUS NIGRICANS	C0981960	IN
ALLERGENIC EXTRACT, RHODOTORULA RUBRA	C0981961	IN
ALLERGENIC EXTRACT, RYE GIANT WILD GRASS POLLEN	C0981962	IN
ALLERGENIC EXTRACT, RYE GRASS PERENNIAL	C0981894	IN
ALLERGENIC EXTRACT, SALIX NIGRA, S. ALBA POLLEN	C0981964	IN
ALLERGENIC EXTRACT, SALT GRASS POLLEN	C0981965	IN
ALLERGENIC EXTRACT, SCALE MIX	C0981966	IN
ALLERGENIC EXTRACT, SHEEP SORREL	C0981967	IN
ALLERGENIC EXTRACT, SHEEP WOOL	C0981968	IN
ALLERGENIC EXTRACT, SHORT RAGWEED, ALTERNARIA	C0981970	IN
ALLERGENIC EXTRACT, SHORT RAGWEED	C0981969	IN
ALLERGENIC EXTRACT, SILK	C0981971	IN
ALLERGENIC EXTRACT, STEMPHYLLUM BOTRYOSUM MOLD	C0981973	IN
ALLERGENIC EXTRACT, STINGING INSECT	C0981974	IN
ALLERGENIC EXTRACT, SUGAR BEET POLLEN	C0981977	IN
ALLERGENIC EXTRACT, SUGAR BEET	C0981976	IN
ALLERGENIC EXTRACT, SWEET GUM POLLEN	C0991787	IN
ALLERGENIC EXTRACT, SYCAMORE	C0981979	IN
ALLERGENIC EXTRACT, TAG ALDER	C0981980	IN
ALLERGENIC EXTRACT, TALL RAGWEED	C0981981	IN
ALLERGENIC EXTRACT, THISTLE, RUSSIAN	C0991788	IN
ALLERGENIC EXTRACT, TIMOTHY GRASS	C0981982	IN
ALLERGENIC EXTRACT, TREE, CHINESE ELM POLLEN	C0981983	IN
ALLERGENIC EXTRACT, TREE, MAPLE	C0993208	IN
ALLERGENIC EXTRACT, TRICOTHECIUMROSEUM MOLD	C0991789	IN
ALLERGENIC EXTRACT, VELVET GRASS POLLEN	C0981985	IN
ALLERGENIC EXTRACT, WALNUT	C0981986	IN
ALLERGENIC EXTRACT, WASP	C0981987	IN
ALLERGENIC EXTRACT, WEED, CARELESS	C0991790	IN
ALLERGENIC EXTRACT, WEED, WEST MIX	C0981989	IN
ALLERGENIC EXTRACT, WESTERN RAGWEED	C0981990	IN
ALLERGENIC EXTRACT, WESTERN WATER HEMP POLLEN	C0981991	IN
ALLERGENIC EXTRACT, WESTERN WHEATGRASS POLLEN	C0981992	IN
ALLERGENIC EXTRACT, YELLOW DOCK POLLEN	C0981993	IN
ALLERGENIC EXTRACT,AGARICUS CAMPESTRIS	C0991792	IN
ALLERGENIC EXTRACT,ALTERNARIA ALTERNATA	C0981996	IN
ALLERGENIC EXTRACT,CALVATIA CYATHIFORMIS	C0981997	IN
ALLERGENIC EXTRACT,CLADOSPORIUM CLADOSPORIS	C0981860	IN
ALLERGENIC EXTRACT,COPRINUS MICACEUS	C0981998	IN
ALLERGENIC EXTRACT,FULIGO SEPTICA	C0981999	IN
ALLERGENIC EXTRACT,INTRADERMAL	C0982001	IN
ALLERGENIC EXTRACT,LYCOPERDON PYRIFORME	C0982002	IN
ALLERGENIC EXTRACT,PENICILLIUM FREQUENTANS	C0982004	IN
ALLERGENIC EXTRACT,POLLEN	C0981946	IN
ALLERGENIC EXTRACT,USTILAGO MAYDIS	C0982005	IN
ALLERGENIC EXTRACT,YELLOW JACKET	C0981994	IN
ALLERGENIC EXTRACT- ALDER ALNUS SPP	C1165737	IN
ALLERGENIC EXTRACT- ALTERNARIA	C1165682	IN
ALLERGENIC EXTRACT- ANT	C1165689	IN
ALLERGENIC EXTRACT- ASH FRAXINUS SPP	C1165651	IN
ALLERGENIC EXTRACT- BEECH, AMERICAN FAGUS AMERICANA	C1165653	IN
ALLERGENIC EXTRACT- BERMUDA GRASS CYNODON DACTYLON	C1165714	IN
ALLERGENIC EXTRACT- BIRCH BETULA SPP	C1165655	IN
ALLERGENIC EXTRACT- BLUEGRASS, ANNUAL POA ANNUA	C1165716	IN
ALLERGENIC EXTRACT- BLUEGRASS, CANADA POA COMPRESSA	C1165718	IN
ALLERGENIC EXTRACT- BLUEGRASS, KENTUCKY JUNE POA PRATENSIS	C1166158	IN
ALLERGENIC EXTRACT- BOTRYTIS	C1165773	IN
ALLERGENIC EXTRACT- BOX ELDER ACER NEGUNDO	C1165739	IN
ALLERGENIC EXTRACT- BROME GRASS, CHEAT USTILAGO BULLATA	C1165720	IN
ALLERGENIC EXTRACT- CANDIDA ALBICANS SKIN TEST ANTIGEN FOR CELLULAR HYPERSENSITIVITY	C1165775	IN
ALLERGENIC EXTRACT- CAT HAIR AND DANDER	C1165813	IN
ALLERGENIC EXTRACT- CAT HAIR FELIS SP.	C1165643	IN
ALLERGENIC EXTRACT- CEDAR, INCENSE LIBOCEDRUS DECURRENS	C1165741	IN
ALLERGENIC EXTRACT- CEPHALOSPORIUM ACREMONIUM	C1165777	IN
ALLERGENIC EXTRACT- CLADOSPORIUM CLADOSPOROIDES	C1165781	IN
ALLERGENIC EXTRACT- COCKLEBUR, MIXED XANTHIUM SPP.	C1165674	IN
ALLERGENIC EXTRACT- COCKROACH PERIPLANETA AMERICANA	C1165691	IN
ALLERGENIC EXTRACT- CORN SMUT USTILAGO MAYDIS	C1165783	IN
ALLERGENIC EXTRACT- COTTONSEED GOSSYPIUM SPP	C1165697	IN
ALLERGENIC EXTRACT- COTTONWOOD POPULUS SPP	C1165743	IN
ALLERGENIC EXTRACT- CURVULARIA INAEQUALIS	C1165785	IN
ALLERGENIC EXTRACT- DOCK, SOUR OR SHEEP SORREL RUMEX ACETOSELLA	C1165748	IN
ALLERGENIC EXTRACT- DOCK, YELLOW RUMEX CRISPUS - CURLY DOCK	C1165750	IN
ALLERGENIC EXTRACT- DUCK MEAT NETTION SP	C1165816	IN
ALLERGENIC EXTRACT- DUST, HOUSE MIXTURE	C1165634	IN
ALLERGENIC EXTRACT- FESCUE, MEADOW FESTUCA ELATIOR	C1165723	IN
ALLERGENIC EXTRACT- FLEA CTENOCEPHALIS CANIS	C1165637	IN
ALLERGENIC EXTRACT- FOODS	C1165633	IN
ALLERGENIC EXTRACT- GERBIL HAIR GERBILLUS SPP	C1165640	IN
ALLERGENIC EXTRACT- GRASS	C1166135	IN
ALLERGENIC EXTRACT- GUINEA PIG DANDER CAVIA SP	C1165820	IN
ALLERGENIC EXTRACT- HACKBERRY CELTIS SPP	C1165745	IN
ALLERGENIC EXTRACT- HEMP, WATER	C1165754	IN
ALLERGENIC EXTRACT- HICKORY CARYA SPP	C1165658	IN
ALLERGENIC EXTRACT- HORMODENDRUM CLADOSPORIUM	C1165685	IN
ALLERGENIC EXTRACT- HORSE FLY	C1165831	IN
ALLERGENIC EXTRACT- HOUSE FLY MUSCA DOMESTICA	C1165833	IN
ALLERGENIC EXTRACT- JOHNSON GRASS SORGHUM HALEPENSE	C1165725	IN
ALLERGENIC EXTRACT- KAPOK CEIBA PENTANDRA	C1165699	IN
ALLERGENIC EXTRACT- KOELER'S GRASS WESTERN JUNEGRASS KOELERIA CRISTATA	C1165727	IN
ALLERGENIC EXTRACT- LAMB'S QUARTERS CHENOPODIUM ALBUM	C1165676	IN
ALLERGENIC EXTRACT- LETTUCE LACTUCA SATIVA	C1165837	IN
ALLERGENIC EXTRACT- MAPLE ACER SPP	C1165660	IN
ALLERGENIC EXTRACT- MARSHELDER	C1165678	IN
ALLERGENIC EXTRACT- MEXICAN TEA CHENOPODIUM AMBROSIOIDES	C1165756	IN
ALLERGENIC EXTRACT- MITE	C1165854	IN
ALLERGENIC EXTRACT- MOSQUITO AEDES SP	C1165835	IN
ALLERGENIC EXTRACT- MOSQUITO CULEX SP	C1165693	IN
ALLERGENIC EXTRACT- MUGWORT, COMMON ARTEMISIA VULGARIS	C1165758	IN
ALLERGENIC EXTRACT- OAK QUERCUS SPP	C1165662	IN
ALLERGENIC EXTRACT- OAT SMUT USTILAGO AVENAE	C1165638	IN
ALLERGENIC EXTRACT- ONION ALLIUM SPP	C1165839	IN
ALLERGENIC EXTRACT- ORCHARD GRASS DACTYLIS GLOMERATA	C1165729	IN
ALLERGENIC EXTRACT- ORRIS ROOTIRIS FLORENTINA	C1165701	IN
ALLERGENIC EXTRACT- PENNICILLIUM SPP	C1165687	IN
ALLERGENIC EXTRACT- PIGWEED, ROUGH REDROOT AMARANTHUS RETROFLEXUS	C1165760	IN
ALLERGENIC EXTRACT- PLANTAIN, ENGLISH PLANTAGO LANCEOLATA	C1165680	IN
ALLERGENIC EXTRACT- POPLAR POPULUS DELTOIDES	C1165664	IN
ALLERGENIC EXTRACT- PYRETHRUM CHRYSANTHEMUM SPP	C1165703	IN
ALLERGENIC EXTRACT- QUACK GRASS AGROPYRON REPENS	C1165731	IN
ALLERGENIC EXTRACT- RAGWEED, SHORT AMBROSIA ELATIOR	C1165647	IN
ALLERGENIC EXTRACT- RAGWEED, TALL AMBROSIA TRIFIDA	C1165649	IN
ALLERGENIC EXTRACT- RAGWEED, WESTERN AMBROSIA CORONOPIFOLIA	C1165762	IN
ALLERGENIC EXTRACT- REDTOP AGROSTIS ALBA	C1165668	IN
ALLERGENIC EXTRACT- RUSSIAN THISTLE SALSOLA KALI	C1165764	IN
ALLERGENIC EXTRACT- RYEGRASS, PERENNIAL LOLIUM PERENNE	C1165733	IN
ALLERGENIC EXTRACT- RYEGRASS, WESTERN ELYMUS GLAUCUS	C1165735	IN
ALLERGENIC EXTRACT- SACCHAROMYCES CEREVISIAE	C1165801	IN
ALLERGENIC EXTRACT- SAGEBRUSH, COMMON ARTEMISIA TRIDENTATA	C1165766	IN
ALLERGENIC EXTRACT- SKIN TEST ANTIGENS FOR CELLULAR HYPERSENSITIVITY	C1165712	IN
ALLERGENIC EXTRACT- SPONDYLOCLADIUM ATROVIRENS	C1165803	IN
ALLERGENIC EXTRACT- STABLE FLY STOMOXYS CALCITRANS	C1165695	IN
ALLERGENIC EXTRACT- STEMPHYLIUM SARCINIFORME	C1165805	IN
ALLERGENIC EXTRACT- SWEET VERNAL GRASS ANTHOXANTHUM ODORATUM	C1166153	IN
ALLERGENIC EXTRACT- SWEET VERNAL POLLEN	C1165670	IN
ALLERGENIC EXTRACT- TIMOTHY PHLEUM PROTENSE	C1165672	IN
ALLERGENIC EXTRACT- TRICHODERMA VIRIDE	C1165807	IN
ALLERGENIC EXTRACT- TRICOPHYTON MENTAGROPHYTES MOLD	C0981984	IN
ALLERGENIC EXTRACT- WHEAT SMUT, LOOSE USTILAGO TRITICI	C1165639	IN
ALLERGENIC EXTRACT- WHITE FACED HORNET	C1165894	IN
ALLERGENIC EXTRACT- YELLOW HORNET VENOM PROTEIN	C1165896	IN
ALPHA HYDROXY ACIDS	C0772110	IN
ALPHA-1-PROTEINASE INHIBITOR,HUMAN	C0795657	IN
ALPHA-AMYLASE	C0002245	IN
ALPHA-D-GALACTOSIDASE ENZYME	C0873011	IN
ALUM,POTASSIUM	C0725101	IN
ALUMINUM SUBACETATE	C0770524	IN
AMBI 1200	C1601242	BN
AMBROXOL ACEFYLLINATE	C0771888	IN
AMERICAN GINSENG ROOT	C0873140	IN
AMILOMER	C1524076	IN
AMINO ACIDS 11.4%	C0771095	IN
AMINO ACIDS 15%	C0771096	IN
AMINO ACIDS 20%	C0937925	IN
AMINO ACIDS 4%	C0771098	IN
AMINO ACIDS 5%	C0771102	IN
AMINO ACIDS 5.4%	C0771100	IN
AMINO ACIDS 6%	C0771105	IN
AMINO ACIDS 6.5%	C0771103	IN
AMINO ACIDS 6.9%	C0771104	IN
AMINO ACIDS 8%	C0771108	IN
AMINOPHYLLINE DIHYDRATE	C0724523	IN
AMINOPHYLLINE HYDRATE	C1271551	IN
AMINOSALICYLATE	C0368663	IN
AMITRIPTYLINE OXIDE	C0772039	IN
AMITRIPTYLINE PAMOATE	C0770882	IN
AMMONIA,AROMATIC	C0991794	IN
AMMONIUM PHOSPHATE,MONOBASIC	C0982014	IN
AMMONIUM SILICOFLUORIDE	C0982015	IN
AMPHETAMINE/DEXTROAMPHETAMINE RESIN COMPLEX	C0982018	IN
AMPHOTERICIN B LIPID COMPLEX	C1145701	IN
AMVISC Plus	C0305126	BN
AMYL SALICYLATE	C0771395	IN
AMYLMETACRESOL	C0771502	IN
ANAMU Preparation	C0937595	IN
ANGIOTENSIN I,HUMAN	C0770144	IN
ANTI-INHIBITOR COAGULANT COMPLEX	C0982025	IN
ANTIHEMOPHILIC FACTOR VIII (HUMAN)	C0795576	IN
ANTIHEMOPHILIC FACTOR VIII:C (PORCINE)	C0795579	IN
ANTIHEMOPHILIC FACTOR, HUM REC	C0770550	IN
ANTIHEMOPHILIC FACTOR, HUMAN (MONOCLONAL)	C0795580	IN
ANTIHEMOPHILIC FACTOR,HUMAN	C0700346	IN
ANTIRABIES SERUM,EQUINE	C0982026	IN
ANTIROBE	C0308340	BN
APAP Extra Strength	C0718176	BN
APAP Fruit	C0718177	BN
APAP Junior Strength	C0718179	BN
APAP Sleep	C0718180	BN
APAP-PM	C0718181	BN
APF Gel	C1170018	BN
APIS MELLIFERA VEN PROTEIN	C0873198	IN
ARBUTAMINE HYDROCHLORIDE	C0772148	IN
ARNICA FLOWERS EXTRACT	C0937766	IN
ASA	AddedByHand	IN
ASPARAGINASE	C0003993	IN
ASTRAGALUS ROOT	C0873105	IN
AT 10	C0591126	BN
ATG-Fresenius	C0731349	BN
ATGAM	C0004149	BN
ATO Mepivacaine V	C1588406	BN
ATUSS	C1601405	BN
AVC brand of sulfanilamide	C0718184	BN
AZIDOCILLIN SODIUM	C0772098	IN
AZINTAMIDE	C1321999	IN
Abbokinase Open-Cath	C0305129	BN
Abbokinase	C0701941	BN
Abelcet	C0281209	BN
Abilify	C1170019	BN
Able brand of nitroglycerin	C1178603	BN
Abletex PSE	C1629483	BN
Abraxane	C1564985	BN
Abreva	C0939672	BN
Absorbine Athletes Foot	C0718186	BN
Absorbine Jock Itch	C0718187	BN
Absorbine Jr. Antifungal	C0718189	BN
Absorbine Jr.	C0718188	BN
Acamprosate calcium	C0592789	IN
Acarbose	C0050393	IN
Acclean	C1590092	BN
Accolate	C0526502	BN
Accu Fluro	C1620468	BN
Accu Gentamicin	C1615280	BN
Accu Phenylephrine	C1615285	BN
Accu Tetracaine	C1612485	BN
Accu-Tropicamide	C1703095	BN
Accu	C1620450	BN
AccuHist DM Pediatric Drops	C1330028	BN
AccuHist DM Pediatric	C1330974	BN
AccuHist PDX	C1616755	BN
AccuHist Pediatric	C1330029	BN
Accuhist Drops	C1616743	BN
Accuhist PC	C1704082	BN
Accuhist PDX Drops	C1634570	BN
Accuhist	C1615190	BN
Accuneb	C1170020	BN
Accupril	C0244580	BN
Accupro	C0591029	BN
Accuretic	C0591030	BN
Accutane	C0699581	BN
Accuzyme	C0718191	BN
Acebutolol Hydrochloride	C0543447	IN
